timestamp,message,logStreamName
1.65617E+12,"START RequestId: fd64774f-7cd6-459a-b1e5-02dc3dd9ad2b Version: $LATEST
",2022/06/25/[$LATEST]c0d3b0c0d9c546259111b7cc0855d06a
1.65617E+12,"[ERROR] Runtime.UserCodeSyntaxError: Syntax error in module 'lambda_function': invalid syntax (lambda_function.py, line 670)
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"" Line 670
        eli intent_name == 'BookFlight':",2022/06/25/[$LATEST]c0d3b0c0d9c546259111b7cc0855d06a
1.65617E+12,"END RequestId: fd64774f-7cd6-459a-b1e5-02dc3dd9ad2b
",2022/06/25/[$LATEST]c0d3b0c0d9c546259111b7cc0855d06a
1.65617E+12,"REPORT RequestId: fd64774f-7cd6-459a-b1e5-02dc3dd9ad2b	Duration: 1.21 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	Init Duration: 121.16 ms	
",2022/06/25/[$LATEST]c0d3b0c0d9c546259111b7cc0855d06a
1.65617E+12,"START RequestId: 8af144e3-2a9b-4cbe-bf98-a4226527eb7b Version: $LATEST
",2022/06/25/[$LATEST]3ea3bcd2a3bc4befbd1aea89dabb4c2e
1.65617E+12,"[ERROR] Runtime.UserCodeSyntaxError: Syntax error in module 'lambda_function': invalid syntax (lambda_function.py, line 670)
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"" Line 670
        else intent_name == 'BookFlight':",2022/06/25/[$LATEST]3ea3bcd2a3bc4befbd1aea89dabb4c2e
1.65617E+12,"END RequestId: 8af144e3-2a9b-4cbe-bf98-a4226527eb7b
",2022/06/25/[$LATEST]3ea3bcd2a3bc4befbd1aea89dabb4c2e
1.65617E+12,"REPORT RequestId: 8af144e3-2a9b-4cbe-bf98-a4226527eb7b	Duration: 1.16 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	Init Duration: 114.63 ms	
",2022/06/25/[$LATEST]3ea3bcd2a3bc4befbd1aea89dabb4c2e
1.65617E+12,"START RequestId: 29d6a43f-559f-4f71-ab77-4bc0cfcf8f38 Version: $LATEST
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"[DEBUG]	2022-06-25T14:20:19.742Z	29d6a43f-559f-4f71-ab77-4bc0cfcf8f38	event.bot.name=BookTrip
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"[DEBUG]	2022-06-25T14:20:19.742Z	29d6a43f-559f-4f71-ab77-4bc0cfcf8f38	dispatch userId=John, intentName=BookCar
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"END RequestId: 29d6a43f-559f-4f71-ab77-4bc0cfcf8f38
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"REPORT RequestId: 29d6a43f-559f-4f71-ab77-4bc0cfcf8f38	Duration: 19.97 ms	Billed Duration: 20 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	Init Duration: 128.19 ms	
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"START RequestId: 4588a075-f061-41f2-9f1b-1293a4dd77ea Version: $LATEST
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"[DEBUG]	2022-06-25T14:22:48.975Z	4588a075-f061-41f2-9f1b-1293a4dd77ea	event.bot.name=BookTrip
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"[DEBUG]	2022-06-25T14:22:48.975Z	4588a075-f061-41f2-9f1b-1293a4dd77ea	dispatch userId=John, intentName=BookHotel
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"END RequestId: 4588a075-f061-41f2-9f1b-1293a4dd77ea
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"REPORT RequestId: 4588a075-f061-41f2-9f1b-1293a4dd77ea	Duration: 1.45 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"START RequestId: e0be17a7-5a7f-4570-a7a4-10070db99643 Version: $LATEST
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"[DEBUG]	2022-06-25T14:25:35.930Z	e0be17a7-5a7f-4570-a7a4-10070db99643	event.bot.name=BookTrip
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"[DEBUG]	2022-06-25T14:25:35.930Z	e0be17a7-5a7f-4570-a7a4-10070db99643	dispatch userId=John, intentName=BookFlight
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"[ERROR] ValueError: invalid literal for int() with base 10: 'evening'
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 687, in lambda_handler
    return dispatch(event)
  File ""/var/task/lambda_function.py"", line 671, in dispatch
    return book_flight(intent_request)
  File ""/var/task/lambda_function.py"", line 354, in book_flight
    departure_time = safe_int(try_ex(lambda: intent_request['currentIntent']['slots']['DepartureTime']))
  File ""/var/task/lambda_function.py"", line 72, in safe_int
    return int(n)",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"END RequestId: e0be17a7-5a7f-4570-a7a4-10070db99643
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"REPORT RequestId: e0be17a7-5a7f-4570-a7a4-10070db99643	Duration: 1.79 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
",2022/06/25/[$LATEST]645252302d214bb4a629506e1fa374df
1.65617E+12,"START RequestId: 0189e507-7fdf-4b17-abc1-017e34494199 Version: $LATEST
",2022/06/25/[$LATEST]15ded8c7b8ce4d2990ebbddada5f15b5
1.65617E+12,"[DEBUG]	2022-06-25T14:27:11.0Z	0189e507-7fdf-4b17-abc1-017e34494199	event.bot.name=BookTrip
",2022/06/25/[$LATEST]15ded8c7b8ce4d2990ebbddada5f15b5
1.65617E+12,"[DEBUG]	2022-06-25T14:27:11.0Z	0189e507-7fdf-4b17-abc1-017e34494199	dispatch userId=John, intentName=BookFlight
",2022/06/25/[$LATEST]15ded8c7b8ce4d2990ebbddada5f15b5
1.65617E+12,"[ERROR] NameError: name 'confirmation_status' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 687, in lambda_handler
    return dispatch(event)
  File ""/var/task/lambda_function.py"", line 671, in dispatch
    return book_flight(intent_request)
  File ""/var/task/lambda_function.py"", line 387, in book_flight
    if confirmation_status == 'Denied':",2022/06/25/[$LATEST]15ded8c7b8ce4d2990ebbddada5f15b5
1.65617E+12,"END RequestId: 0189e507-7fdf-4b17-abc1-017e34494199
",2022/06/25/[$LATEST]15ded8c7b8ce4d2990ebbddada5f15b5
1.65617E+12,"REPORT RequestId: 0189e507-7fdf-4b17-abc1-017e34494199	Duration: 2.19 ms	Billed Duration: 3 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	Init Duration: 117.89 ms	
",2022/06/25/[$LATEST]15ded8c7b8ce4d2990ebbddada5f15b5
1.65617E+12,"START RequestId: 5a877507-2584-470c-b059-7858d99291cc Version: $LATEST
",2022/06/25/[$LATEST]7c115b8661f646b8a80aaa5130a1aa80
1.65617E+12,"[DEBUG]	2022-06-25T14:32:04.573Z	5a877507-2584-470c-b059-7858d99291cc	event.bot.name=BookTrip
",2022/06/25/[$LATEST]7c115b8661f646b8a80aaa5130a1aa80
1.65617E+12,"[DEBUG]	2022-06-25T14:32:04.573Z	5a877507-2584-470c-b059-7858d99291cc	dispatch userId=John, intentName=BookFlight
",2022/06/25/[$LATEST]7c115b8661f646b8a80aaa5130a1aa80
